DEC,HEX,Alpha Tag,Mode,Description,Tag,Group,Priority,Stream List
3955,f73,TAMU PD Tac 3,D,Police Tactical 3,Law Tac,Texas A&M University (College Station),1,
3957,f75,TAMU PD Talk,D,Police Talk,Law Talk,Texas A&M University (College Station),1,
3120,c30,TCISD 1 TCHS,D,Texas City ISD Ch. 1 - Texas City High School,Schools,Galveston County - Schools,1,
3316,cf4,TCISD 2 BMS,D,Texas City ISD Ch. 2 - Blocker Middle School and DEAP,Schools,Galveston County - Schools,1,
3318,cf6,TCISD 3 LFIS,D,Texas City ISD Ch. 3 - Levi Fry Intermediate School and Administration,Schools,Galveston County - Schools,1,
3320,cf8,TCISD Emerg,D,Texas City ISD - Emergency,Schools,Galveston County - Schools,1,
3324,cfc,TCISD ES,D,Texas City ISD Elementary Schools,Schools,Galveston County - Schools,1,
3322,cfa,TCISD Transp,D,Texas City ISD Transportation,Schools,Galveston County - Schools,1,
882,372,Texas DPS Lufkin,D,Lufkin,Law Dispatch,Texas DPS Region 2B,1,
1136,470,Texas DSHS,D,Texas Department of State Health Services,Public Works,Texas Department of State Health Services,1,
1102,44e,Texas Forest,D,Texas Forest Service,Public Works,Texas Forest Service,1,
